match_id,home,away,real_home_goals,real_away_goals,real_score,real_outcome,predicted_winner,winner_hit,top1_score_hit,top3_score_hit,top5_score_hit,brier_score_1x2,log_loss_1x2,exact_score_rank,exact_score_probability,evaluated_at,predicted_home_win,predicted_draw,predicted_away_win
537410,Ghana,Panama,1,0,1 - 0,Ghana,Ghana,True,False,True,True,0.4155474073733727,0.7472451020454894,2.0,0.0981007452615467,2026-06-18T02:23:02.435384+00:00,0.4736696685423056,0.2607176511912938,0.2656126802664006
537404,Uzbekistan,Colombia,1,3,1 - 3,Colombia,Colombia,True,False,False,False,0.3794817910346553,0.6989645471350777,,,2026-06-18T04:29:02.472611+00:00,0.2437424900635142,0.2591577491675768,0.4970997607689091
537409,England,Croatia,4,2,4 - 2,England,England,True,False,False,False,0.3125963050243596,0.6094749560155643,,,2026-06-18T04:30:03.532216+00:00,0.5436362270859435,0.2380425452035531,0.2183212277105033
537403,Portugal,Congo DR,1,1,1 - 1,Empate,Portugal,False,False,True,True,1.0716830148659364,1.5890213143504992,3.0,0.095789194274222,2026-06-18T04:30:36.924090+00:00,0.6444715118573873,0.2041252884984372,0.1514031996441754
537398,Austria,Jordan,3,1,3 - 1,Austria,Austria,True,False,False,True,0.2744919157665302,0.5574799264576517,5.0,0.0636222396731888,2026-06-18T04:31:10.238334+00:00,0.5726503680312556,0.2302632735799158,0.1970863583888286
537397,Argentina,Algeria,3,0,3 - 0,Argentina,Argentina,True,False,False,False,0.285741804863958,0.5732826185949413,,,2026-06-18T04:31:49.427686+00:00,0.5636720779809821,0.2273487735771877,0.2089791484418301
537392,Iraq,Norway,1,4,1 - 4,Norway,Iraq,False,False,False,False,0.5908659206171107,0.9743353914718104,,,2026-06-18T04:32:16.210076+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537391,France,Senegal,3,1,3 - 1,France,France,True,False,False,True,0.3079486175528226,0.6034163514196362,5.0,0.0629698530280002,2026-06-18T04:32:56.913968+00:00,0.5469399017535679,0.2316991214878936,0.2213609767585385
537364,Iran,New Zealand,2,2,2 - 2,Empate,Iran,False,False,False,True,0.8610381059411059,1.417343311630312,4.0,0.0676382026318593,2026-06-18T04:35:14.604844+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537370,Saudi Arabia,Uruguay,1,1,1 - 1,Empate,Saudi Arabia,False,True,True,True,0.8610381059411059,1.417343311630312,1.0,0.1074129011859311,2026-06-18T04:35:27.919066+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537363,Belgium,Egypt,1,1,1 - 1,Empate,Belgium,False,True,True,True,0.8610381059411059,1.417343311630312,1.0,0.1074129011859311,2026-06-18T04:35:53.565626+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537369,Spain,Cape Verde Islands,0,0,0 - 0,Empate,Spain,False,False,False,False,0.8610381059411059,1.417343311630312,,,2026-06-18T04:36:04.606381+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537358,Sweden,Tunisia,5,1,5 - 1,Sweden,Sweden,True,False,False,False,0.5853524681351553,0.9670582477145324,,,2026-06-18T04:36:25.236771+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537352,Ivory Coast,Ecuador,1,0,1 - 0,Ivory Coast,Ivory Coast,True,False,False,True,0.5853524681351553,0.9670582477145324,5.0,0.0579144178546824,2026-06-18T04:37:10.133994+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537357,Netherlands,Japan,2,2,2 - 2,Empate,Netherlands,False,False,False,True,0.8610381059411059,1.417343311630312,4.0,0.0676382026318593,2026-06-18T04:37:18.817067+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537351,Germany,Curaçao,7,1,7 - 1,Germany,Germany,True,False,False,False,0.5853524681351553,0.9670582477145324,,,2026-06-18T04:37:24.989731+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537346,Australia,Turkey,2,0,2 - 0,Australia,Australia,True,False,False,False,0.5853524681351553,0.9670582477145324,,,2026-06-18T04:37:38.131253+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537340,Haiti,Scotland,0,1,0 - 1,Scotland,Haiti,False,False,False,False,0.5908659206171107,0.9743353914718104,,,2026-06-18T04:39:27.537734+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537339,Brazil,Morocco,1,1,1 - 1,Empate,Brazil,False,True,True,True,0.8610381059411059,1.417343311630312,1.0,0.1074129011859311,2026-06-18T04:39:41.191177+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537334,Qatar,Switzerland,1,1,1 - 1,Empate,Qatar,False,True,True,True,0.8610381059411059,1.417343311630312,1.0,0.1074129011859311,2026-06-18T04:40:00.684555+00:00,0.3801998483813177,0.2423570294783423,0.3774431221403399
537345,United States,Paraguay,4,1,4 - 1,United States,United States,True,False,False,False,0.5071594703410148,0.8709876636720266,,,2026-06-18T04:40:08.814528+00:00,0.4185379702941815,0.2882478357816582,0.2932141939241602
537333,Canada,Bosnia-Herzegovina,1,1,1 - 1,Empate,Canada,False,True,True,True,0.7827778885346278,1.268349697012625,1.0,0.1037262030539346,2026-06-18T04:40:19.330589+00:00,0.4224932559402819,0.2812954616756618,0.2962112823840562
537328,South Korea,Czechia,2,1,2 - 1,South Korea,South Korea,True,False,True,True,0.5287963372111396,0.9006838090499331,2.0,0.0833484472727387,2026-06-18T04:40:26.305822+00:00,0.4062917387611103,0.2912824156150226,0.3024258456238671
537327,Mexico,South Africa,2,0,2 - 0,Mexico,Mexico,True,False,False,False,0.48013427952318666,0.8341525265856425,,,2026-06-18T04:41:17.439692+00:00,0.43424233437195026,0.28046272045773196,0.28529494517031784
